Chemical,Synonyms,Category,FORMULA,CAS,Mass (Daltons),ComponentType,molType,Is Soluble,Solubility,Is_HAZARD,CODE,Risk No.,Safety phrases,"Flammable,Toxic/IrritantCorrosive",RefSampleName,SampleCategory,
ammonium citrate tribasic,"tri-ammonium citrate; tri-ammonium citrate; citric acid,triammonium salt ",Buffering agent,HOC(COONH4)(CH2COONH4)2,3458-72-8,243.22,MolComp,other,Y,,Y,,R36/37/38,"S26,S36",Xi,Ammonium citrate tribasic,"Buffer,Buffering Agent,Chemical/Biochemical"
ammonium fluoride,,Salt,HNH4F,12125-01-8,37.04,MolComp,other,Y,,Y,,R23/24/25,"S26,S45",T,Ammonium fluoride,Chemical/Biochemical
ammonium formate,"formic acid,ammonium salt ","Precipitant,Salt",CH5NO2,540-69-2,63.06,MolComp,other,Y,,Y,,R36/37/38,"S26,S36",Xi,Ammonium formate,Chemical/Biochemical
ammonium iodide,,Salt,NH4I,12027-06-4,144.94,MolComp,other,Y,,Y,,R36/37/38,"S26,S37",Xi,Ammonium iodide,Chemical/Biochemical
ammonium iron(II) sulphate hexahydrate,ammonium iron(II) sulfate hexahydrate,Salt,(NH4)2Fe(SO4)2.6H2O,7783-85-9,392.14,MolComp,other,Y,,,1,R36/37/38,"S26,S36",Xi,Ammonium iron(II) sulphate hexahydrate,Chemical/Biochemical
ammonium nitrate,,"Precipitant,Salt,Additive",NH4NO3,6484-52-2,80.04,MolComp,other,Y,,Y,2,"R8,R36/37,R40","S17,S26,S38","O,Xi",Ammonium nitrate,Chemical/Biochemical
ammonium oxalate,,Salt,(COONH4)2.H2O,6009-70-7,142.11,MolComp,other,Y,,Y,2,R21/22,S24/25,Xn,Ammonium oxalate,Chemical/Biochemical
ammonium persulphate,,Catalyst,H8N2O8S2,7727-54-0,228.2,MolComp,other,Y,,Y,2,"R22,R36/37/38,R42/43,R8","S22,S24,S26,S37","O,Xn",Ammonium persulphate,"Electrophoresis,Chemical/Biochemical"
diammonium hydrogen phosphate,ammonium phosphate dibasic;  ammonium hydrogenphosphate; diammonium hydrogenphosphate; di-ammonium hydrogenphosphate,"Precipitant,Salt",(NH4)2HPO4,7783-28-0,132.06,MolComp,other,Y,,,2,R36/37/38,"S26,S36",Xi,di-Ammonium hydrogen phosphate,Chemical/Biochemical,
ammonium dihydrogen phosphate,ammonium phosphate monobasic;  ammonium dihydrogenphosphate; prim-ammonium phosphate; mono-ammonium phosphate; ammonium di-hydrogenphosphate; ammonium di-hydrogen phosphate,"Precipitant,Salt",NH4H2PO4,7722-76-1,115.03,MolComp,other,Y,,,2,R36/37,"S26,S36",Xi,Ammonium dihydrogen phosphate,Chemical/Biochemical,
