name,details,category,expTypes,catNum,supplier,dpURL
SelenoMet Medium Base plus Nutrient Mix,,Culture media,Expression / Culture,MD12-501,Molecular Dimensions,http://www.moleculardimensions.com/uk/search.ihtml
SelenoMethionine solution,,Culture media,Expression / Culture,MD12-503,Molecular Dimensions,http://www.moleculardimensions.com/uk/search.ihtml
Methionine solution,,Culture media,,MD12-504,Molecular Dimensions,http://www.moleculardimensions.com/uk/search.ihtml
Power Broth,,Culture media,Culture,MD12-106-6,Molecular Dimensions,http://www.moleculardimensions.com
,,,,,,
IPTG 1M,,Solution,Expression,,,
DMSO,,Solvent,PCR,,,
Betaine,,Chemical/Biochemical,PCR,,,
DTT 100mM,,Solution,LIC polymerase reaction,,,
EDTA 25mM,,Solution,LIC annealing,,,
10x T4 polymerase buffer,,Buffer,LIC polymerase reaction,,,
,,,,,,
Kanamycin 30mg/ml,,Antibiotic,Culture / Dish culture / Miniprep / Expression,,,
Tetracycline 12mg/ml,,Antibiotic,Culture / Dish culture / Miniprep / Expression,,,
Chloramphenicol 34mg/ml,,Antibiotic,Culture / Dish culture / Miniprep / Expression,,,
Carbenicillin 50mg/ml,,Antibiotic,Culture / Dish culture / Miniprep / Expression,,,
,,,,,,
Ethanol,,Solvent,Miniprep,,,
Water,,Solvent,PCR / LIC polymerase reaction,,,
Isopropanol,,Solvent,Miniprep,,,
Ethanol 70% v/v in water,,Solvent,Miniprep,,,
,,,,,,
TE buffer pH 8.0,,Buffer,Miniprep,,,
,,,,,,
Invitrogen Primer,PCR Primer from Invitrogen,Primer,PCR,,Invitrogen/Life Technologies,http://www.invitrogen.com/content.cfm?pageid=9714&CID=TN-Prods-Oligos
Invitrogen / Life Technologies Primer,PCR Primer from Invitrogen,Primer,PCR,,Invitrogen/Life Technologies,http://www.invitrogen.com/content.cfm?pageid=9714&CID=TN-Prods-Oligos
Operon Primer,PCR Primer from Operon Biotechnologies GmbH,Primer,PCR,,Operon Biotechnologies GmbH,https://www.operon.com/products_main.php
MWG Primer,PCR Primer from MWG Biotech,Primer,PCR,,MWG Biotech,http://www.mwg-biotech.com/html/s_synthesis/s_overview.shtml
,,,,,,
Forward Primer,,Forward Primer,PCR,,,
Reverse Primer,,Reverse Primer,PCR,,,
Purified Protein,,Purified protein,Trials,,,
Plasmid,,Plasmid,Transformation,,,
